,Cluster,Baseline Water Stress,Baseline Water Withdrawals,Interannual Variation,Seasonal Variation,Groundwater Table Decline,Riverine Flood Risk,Coastal Flood Risk,Drought Risk,Untreated Connected Wastewater,Unimproved Drinking Water,Unimproved Sanitation,Infant Mortality Rate,Nighttime Light,Population Density,Count,Rank
0,-1,0.16901981662115942,0.15926577447292964,0.5475125487683373,0.7118983810834353,0.22288518447032052,0.0132779731221847,0.0004556355438345546,2.4240585632711333,0.34925453167400367,0.17771864619946343,0.3435758821677906,31.97028090926751,3.9114035048210556,1812.7653215222874,22258,23.0
1,0,0.13412316138725194,0.12660655190468484,0.32423305734181046,0.614459112585083,-0.15661165236486552,0.006453477644193534,0.0,2.4766479867519595,-1.0,0.4330525863845191,0.9326522563362297,54.18030107560657,0.540280665374631,879.5342900226578,296,4.0
2,1,0.13126685637594485,0.1217362253530445,0.3851707646361047,0.9434684624395702,-0.282754064395759,0.006430937406634075,1.5475879005824325e-05,2.2940114391636337,0.999906890459364,0.4858566384576878,0.7642396040067571,52.1850490446002,0.8908283691578007,195.35650955263677,283,3.0
3,2,0.021991316999260314,0.021973258323433092,0.31444286005707056,0.6145088479934716,-0.1121748059259259,0.00572666560009566,0.0,1.908825832488477,1.0,0.6658817539490531,0.6914828625465841,83.9873367685526,0.9854053707820601,336.4829499962697,135,1.0
4,3,0.2834769687742714,0.1262293364555274,0.3592458127041234,0.3677666057651318,0.03481527338635627,0.0038373835036326874,1.8845152148147983e-05,3.1387917209959117,0.5500922310077601,0.014205875657614667,0.031663336782290726,7.4625035368999875,2.018427191692374,383.69781191711445,3225,22.0
5,4,0.9747487898144545,0.43773270596182584,0.4624439000447069,0.9426335168602994,0.19407785990931622,0.0038724753341329533,1.0583595893294754e-06,2.989800621947235,0.8287049919678636,0.04355345571503138,0.035695766692845,12.703945761742371,1.2607781149423916,279.15473753942575,1245,18.0
6,5,0.1330901127272472,0.06291455799968601,0.375349325450877,0.42732745698847535,0.005157748128713033,0.003779499218646425,1.3497262305720418e-05,3.15950459115691,0.9098118790664751,0.05072986373865352,0.23562069239752548,8.59085673730404,1.3470919156265537,735.7837971027228,1414,19.0
7,6,0.3236752747561119,0.18859064800004474,0.4594515290741836,0.9524895642153405,0.029457444399011382,0.003972017555612037,8.783290469014295e-06,2.8667698113168867,0.9247517886140854,0.04539246247293275,0.2870976577000905,11.996604049556849,1.1556329926798108,542.1721292591304,2143,20.0
8,7,0.07593309983964341,0.0747279583027818,0.3906253927369795,0.978020562571033,-0.009638565430843111,0.0052775041390349465,6.565418303090812e-05,0.5983027010776696,0.924760764552576,0.0016117094223632496,0.0006977178058392786,9.376028232698811,0.16565571933437007,4.586928152912541,1151,16.0
9,8,0.09846906340742285,0.0550314849092206,0.4218616811929252,0.39646237130650364,0.007501313692115449,0.0027796460263980463,3.63078832759044e-05,1.2502401541326806,0.24823757613683625,0.017200241036107816,0.005264546655937839,5.202210692000486,1.0686621011886335,52.35305090557035,2397,21.0
10,9,0.10656448321708224,0.09732068704862595,0.40313823590131215,0.93235625936031,-0.01846364536231928,0.005705973532316202,4.93289114333266e-06,1.3946813680043186,0.9304467908902715,0.0684768405535475,0.27349728984200344,13.51638489027506,0.3609751205439883,34.81550716808208,966,15.0
